CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346.0,326,1,77183.6,3,At-Risk
12347.0,2,7,4310.0,0,High-Value
12348.0,75,4,1797.24,3,At-Risk
12349.0,19,1,1757.55,2,Occasional
12350.0,310,1,334.40000000000003,1,Regular
12352.0,36,8,2506.04,3,At-Risk
12353.0,204,1,89.0,1,Regular
12354.0,232,1,1079.4,1,Regular
12355.0,214,1,459.40000000000003,1,Regular
12356.0,23,3,2811.43,3,At-Risk
12357.0,33,1,6207.67,3,At-Risk
12358.0,2,2,1168.06,2,Occasional
12359.0,58,4,6310.03,3,At-Risk
12360.0,52,3,2662.06,3,At-Risk
12361.0,287,1,189.9,1,Regular
12362.0,3,10,5226.2300000000005,0,High-Value
12363.0,110,2,552.0,1,Regular
12364.0,8,4,1313.1,2,Occasional
12365.0,291,2,641.38,1,Regular
12367.0,4,1,168.9,2,Occasional
12370.0,51,4,3541.94,3,At-Risk
12371.0,45,2,1887.96,3,At-Risk
12372.0,72,3,1298.04,3,At-Risk
12373.0,311,1,364.6,1,Regular
12374.0,25,1,742.9300000000001,2,Occasional
12375.0,11,2,457.5,2,Occasional
12377.0,315,2,1628.1200000000001,3,At-Risk
12378.0,130,1,4008.62,3,At-Risk
12379.0,82,2,852.24,3,At-Risk
12380.0,22,4,2724.81,3,At-Risk
12381.0,5,5,1845.31,0,High-Value
12383.0,185,5,1850.56,3,At-Risk
12384.0,29,2,585.27,2,Occasional
12386.0,338,2,401.9,1,Regular
12388.0,16,6,2780.6600000000003,0,High-Value
12390.0,80,1,549.84,1,Regular
12391.0,22,1,439.66,2,Occasional
12393.0,72,4,1582.6000000000001,3,At-Risk
12394.0,64,2,1272.48,3,At-Risk
12395.0,19,12,3018.63,0,High-Value
12397.0,36,2,2409.9,3,At-Risk
12398.0,46,1,1635.6599999999999,3,At-Risk
12399.0,119,4,1108.65,3,At-Risk
12401.0,303,1,84.3,1,Regular
12402.0,323,1,225.60000000000002,1,Regular
12403.0,50,1,427.7,1,Regular
12405.0,149,1,1710.39,3,At-Risk
12406.0,22,2,3415.3,3,At-Risk
12407.0,50,5,1708.12,3,At-Risk
12408.0,33,5,2888.55,3,At-Risk
12409.0,79,3,11072.67,3,At-Risk
12410.0,309,2,693.33,1,Regular
12412.0,75,3,1226.88,3,At-Risk
12413.0,67,3,758.1,3,At-Risk
12414.0,217,3,562.4100000000001,1,Regular
12415.0,24,21,124914.53,0,High-Value
12417.0,3,9,3649.1,0,High-Value
12418.0,113,1,668.58,1,Regular
12420.0,64,1,600.39,1,Regular
12421.0,16,4,807.04,2,Occasional
12422.0,96,3,803.5600000000001,3,At-Risk
12423.0,1,8,1859.31,0,High-Value
12424.0,163,2,1760.96,3,At-Risk
12425.0,78,1,777.2,1,Regular
12426.0,195,1,582.73,1,Regular
12427.0,22,3,825.8000000000001,2,Occasional
12428.0,26,9,7956.46,0,High-Value
12429.0,9,4,3750.4,0,High-Value
12430.0,43,1,256.4,1,Regular
12431.0,36,15,6419.95,0,High-Value
12432.0,43,5,5059.32,3,At-Risk
12433.0,1,7,13375.87,0,High-Value
12434.0,85,2,806.14,3,At-Risk
12435.0,80,2,7829.89,3,At-Risk
12436.0,100,1,509.01,1,Regular
12437.0,2,18,4951.41,0,High-Value
12438.0,14,2,2906.85,3,At-Risk
12441.0,367,1,173.55,1,Regular
12442.0,3,1,172.06,2,Occasional
12444.0,21,5,5005.46,0,High-Value
12445.0,22,1,133.4,2,Occasional
12446.0,58,1,1002.3100000000001,1,Regular
12447.0,243,1,476.49,1,Regular
12448.0,44,1,449.45,1,Regular
12449.0,22,4,4067.29,3,At-Risk
12450.0,156,2,197.88,1,Regular
12451.0,11,5,9035.52,0,High-Value
12452.0,17,2,430.57000000000005,2,Occasional
12453.0,134,1,707.09,1,Regular
12454.0,56,1,3528.34,3,At-Risk
12455.0,73,6,2466.86,3,At-Risk
12456.0,44,3,3181.04,3,At-Risk
12457.0,66,7,2363.23,3,At-Risk
12458.0,71,2,947.4,3,At-Risk
12461.0,94,2,826.88,3,At-Risk
12462.0,19,2,1189.59,2,Occasional
12463.0,53,4,1344.78,3,At-Risk
12464.0,10,8,1212.05,0,High-Value
12465.0,17,2,742.19,2,Occasional
12468.0,188,2,729.54,1,Regular
12471.0,2,30,19788.65,0,High-Value
12472.0,32,7,6572.11,0,High-Value
12473.0,29,5,3928.05,3,At-Risk
12474.0,17,18,7324.09,0,High-Value
12475.0,54,1,723.38,1,Regular
12476.0,16,11,6816.42,0,High-Value
12477.0,23,6,13219.74,0,High-Value
12478.0,4,1,680.99,2,Occasional
12479.0,11,1,527.2,2,Occasional
12480.0,28,4,3281.63,3,At-Risk
12481.0,23,10,5579.82,0,High-Value
12483.0,17,8,2484.98,0,High-Value
12484.0,33,6,4527.32,3,At-Risk
12488.0,10,3,1298.66,2,Occasional
12489.0,336,1,334.93,1,Regular
12490.0,5,10,5417.93,0,High-Value
12491.0,39,1,460.40000000000003,2,Occasional
12492.0,63,2,263.21000000000004,1,Regular
12493.0,166,2,433.74,1,Regular
12494.0,16,7,1246.1,3,At-Risk
12497.0,82,1,1043.1,1,Regular
12498.0,21,3,403.70000000000005,2,Occasional
12500.0,23,11,4257.82,0,High-Value
12501.0,337,1,2169.39,1,Regular
12502.0,96,5,3723.87,3,At-Risk
12504.0,18,2,482.04999999999995,2,Occasional
12506.0,233,1,73.5,1,Regular
12507.0,134,3,1304.81,3,At-Risk
12508.0,26,2,397.88,2,Occasional
12509.0,284,1,176.5,1,Regular
12510.0,143,2,982.5699999999999,3,At-Risk
12512.0,66,2,132.18,1,Regular
12513.0,113,1,612.29,1,Regular
12514.0,267,1,1017.6800000000001,1,Regular
12515.0,353,1,383.7,1,Regular
12516.0,78,2,1312.06,3,At-Risk
